域名,类别,严重度,系统DNS_A,阿里DNS_A,谷歌DNS_A,DNSPod_A,114DNS_A,AAAA异常
gatuso.duckdns.org,c2,high,162.35.97.149,162.35.97.149,162.35.97.149,162.35.97.149,ETIMEOUT,
glanz-gmbh.de,network_activity,high,185.243.11.51,185.243.11.51,185.243.11.51,185.243.11.51,185.243.11.51,
global.webjine.o-r.kr,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
google.com.hospitalinstallation.com,c2,high,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,45.137.205.53,
hcgos.com,network_activity,high,ENODATA,ENODATA,ETIMEOUT,ENODATA,ETIMEOUT,
helloxcherry.com,phishing,high,2.25.69.49,2.25.69.49,2.25.69.49,2.25.69.49,2.25.69.49,
hospitalinstallation.com,c2,high,ENODATA,ENODATA,ENODATA,ENODATA,ETIMEOUT,
hsauyeet.live,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
hygienehistory.com,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
ijt0l3i8brit6q.org,c2,high,34.209.195.255,34.209.195.255,34.209.195.255,34.209.195.255,ETIMEOUT,
investigation-launches-hearings-copying.trycloudflare.com,network_activity,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
ip-scanner.org,c2,high,ESERVFAIL,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
iran.dashboard.1drvms.store,phishing,high,45.12.109.78,45.12.109.78,ETIMEOUT,45.12.109.78,45.12.109.78,
iwsmailserver.com,phishing,high,172.67.137.72;104.21.73.18,172.67.137.72;104.21.73.18,104.21.73.18;172.67.137.72,104.21.73.18;172.67.137.72,172.67.137.72;104.21.73.18,
jaiydteds.love,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,ETIMEOUT,
johncon.my,c2,high,104.21.25.179;172.67.134.113,172.67.134.113;104.21.25.179,172.67.134.113;104.21.25.179,104.21.25.179;172.67.134.113,172.67.134.113;104.21.25.179,
jzluw.com,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
kdsuyrse.live,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
lisiutegrm.live,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
lmaxjuyh.cn,phishing,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
looksta.icu,c2,high,104.21.33.112;172.67.161.227,104.21.33.112;172.67.161.227,ETIMEOUT,172.67.161.227;104.21.33.112,172.67.161.227;104.21.33.112,
mail.iwsmailserver.com,phishing,high,104.21.73.18;172.67.137.72,ETIMEOUT,172.67.137.72;104.21.73.18,104.21.73.18;172.67.137.72,172.67.137.72;104.21.73.18,
med.gov.sy,phishing,high,177.29.245.136,177.29.245.136,177.29.245.136,177.29.245.136,ETIMEOUT,
memphiswawu.com,c2,high,124.198.132.55,124.198.132.55,124.198.132.55,124.198.132.55,ETIMEOUT,
microuptime.com,network_activity,high,84.200.205.244,84.200.205.244,84.200.205.244,84.200.205.244,84.200.205.244,
mksfuuerwo.live,c2,high,103.23.172.117,103.23.172.117,ETIMEOUT,103.23.172.117,103.23.172.117,
mofa.gov.iq,phishing,high,172.67.68.251;104.26.1.234;104.26.0.234,104.26.0.234;172.67.68.251;104.26.1.234,172.67.68.251;104.26.1.234;104.26.0.234,172.67.68.251;104.26.1.234;104.26.0.234,104.26.1.234;172.67.68.251;104.26.0.234,
mysimerp.net,network_activity,high,ESERVFAIL,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL,
naintn.com,c2,high,172.67.136.116;104.21.46.82,172.67.136.116;104.21.46.82,104.21.46.82;172.67.136.116,104.21.46.82;172.67.136.116,172.67.136.116;104.21.46.82,
ncduuyese.live,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
networklookout.com,network_activity,high,172.67.207.143;104.21.22.229,172.67.207.143;104.21.22.229,104.21.22.229;172.67.207.143,104.21.22.229;172.67.207.143,172.67.207.143;104.21.22.229,
networkservice.cyou,c2,high,ESERVFAIL,ESERVFAIL,ETIMEOUT,ESERVFAIL,ETIMEOUT,
njhwuyklw.com,phishing,high,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,103.115.56.86,
node449013.dwservice.net,c2,high,51.68.153.212,51.68.153.212,51.68.153.212,51.68.153.212,ETIMEOUT,
node828765.dwservice.net,c2,high,194.61.31.164,194.61.31.164,194.61.31.164,194.61.31.164,194.61.31.164,
node896147.dwservice.net,c2,high,46.250.233.27,46.250.233.27,46.250.233.27,46.250.233.27,46.250.233.27,
oakwusya.love,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
oauth.shacloud.o-r.kr,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
oobe.webjine.o-r.kr,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
opmanager.pro,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
p.cloudlanecdn.com,c2,high,ESERVFAIL,ETIMEOUT,ESERVFAIL,ESERVFAIL,ETIMEOUT,
paiwudyea.love,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
pestrear-lamp.xyz,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ETIMEOUT,
playtogga.com,c2,high,172.67.212.199;104.21.61.184,172.67.212.199;104.21.61.184,104.21.61.184;172.67.212.199,104.21.61.184;172.67.212.199,104.21.61.184;172.67.212.199,
pois43.s3.eu-central-003.backblazeb2.com,c2,high,45.11.36.254;45.11.38.254;45.11.39.254;45.11.37.254,45.11.38.254;45.11.37.254;45.11.39.254;45.11.36.254,45.11.36.254;45.11.39.254;45.11.37.254;45.11.38.254,45.11.36.254;45.11.39.254;45.11.37.254;45.11.38.254,45.11.37.254;45.11.38.254;45.11.39.254,
prism-matrixs.com,c2,high,104.21.60.213;172.67.201.201,172.67.201.201;104.21.60.213,ETIMEOUT,172.67.201.201;104.21.60.213,ETIMEOUT,
prism-vertex.com,c2,high,104.21.13.107;172.67.199.214,172.67.199.214;104.21.13.107,172.67.199.214;104.21.13.107,104.21.13.107;172.67.199.214,104.21.13.107;172.67.199.214,
professionalhomebasedbusiness.com,network_activity,high,ETIMEOUT,ENOTFOUND,ETIMEOUT,ENOTFOUND,ENOTFOUND,
projetosmecanicos.com.br,network_activity,high,177.73.233.244,177.73.233.244,177.73.233.244,177.73.233.244,177.73.233.244,
proton-network.com,c2,high,172.67.198.116;104.21.68.204,172.67.198.116;104.21.68.204,104.21.68.204;172.67.198.116,104.21.68.204;172.67.198.116,172.67.198.116;104.21.68.204,
q.cloudlanecdn.com,c2,high,ESERVFAIL,ETIMEOUT,ESERVFAIL,ESERVFAIL,ETIMEOUT,
qeuasytua.love,c2,high,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,103.23.172.117,
rema200426.duckdns.org,network_activity,high,186.169.76.60,186.169.76.60,186.169.76.60,186.169.76.60,186.169.76.60,
resumeacceptable.com,c2,high,185.117.72.215,ETIMEOUT,185.117.72.215,185.117.72.215,ETIMEOUT,
rule-bead-dust.xyz,c2,high,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,ENOTFOUND,
safefire.jo,network_activity,high,173.212.234.74,173.212.234.74,ETIMEOUT,173.212.234.74,173.212.234.74,
sdfw2026024.tos-cn-shanghai.volces.com,phishing,high,180.97.50.1;180.97.50.130,180.97.50.1;180.97.50.130,180.97.50.130;180.97.50.1,180.97.50.130;180.97.50.1,180.97.50.1;180.97.50.130,
